"","id","year","male","birthdate","birthyear","mono_index","sampyearsum","sociality","inno_count","domain_index","domain","age","logsampeff","MainGroup","groups","group","rank","max_group","avg_age","avg_rnk","avg_elo","rank_class","inno_count_ND","sociality.s","sociality.c","logage","logage.c","group_index","year_index","age_cat","adult.f","adult.m","adult","rankhi","rankmid","ranklo","innobinom","groupsize.c","innovator","innovatoryear"
"1","AH",2007,1,2004-05-16,2004,1,156,64.4,0,4,"social",4,5.04985600724954,"FF","FF","FF",42,42,2.7,34.1,0,"low",0,0.877415669264267,12.4662835249042,1.38629436111989,-0.611621286077985,3,1,1,0,0,0,0,0,1,0,15.6309067688378,0,0
"2","AH",2007,1,2004-05-16,2004,1,156,64.4,0,2,"investigative",4,5.04985600724954,"FF","FF","FF",42,42,2.7,34.1,0,"low",0,0.877415669264267,12.4662835249042,1.38629436111989,-0.611621286077985,3,1,1,0,0,0,0,0,1,0,15.6309067688378,0,0
"3","AH",2007,1,2004-05-16,2004,1,156,64.4,0,3,"self-directed",4,5.04985600724954,"FF","FF","FF",42,42,2.7,34.1,0,"low",0,0.877415669264267,12.4662835249042,1.38629436111989,-0.611621286077985,3,1,1,0,0,0,0,0,1,0,15.6309067688378,0,0
"4","AH",2007,1,2004-05-16,2004,1,156,64.4,0,1,"foraging",4,5.04985600724954,"FF","FF","FF",42,42,2.7,34.1,0,"low",0,0.877415669264267,12.4662835249042,1.38629436111989,-0.611621286077985,3,1,1,0,0,0,0,0,1,0,15.6309067688378,0,0
"14","AL",2007,1,1995-05-15,1995,2,1356,45.5,0,4,"social",13,7.21229446850034,"FF","CU,FF,RF","FF",8,42,11.9,6.5,1466.2,"high",0,-0.45282490451749,-6.43371647509579,2.56494935746154,0.567033710263661,3,1,3,0,1,1,1,0,0,0,15.6309067688378,0,0
"17","AL",2007,1,1995-05-15,1995,2,1356,45.5,0,1,"foraging",13,7.21229446850034,"FF","CU,FF,RF","FF",8,42,11.9,6.5,1466.2,"high",0,-0.45282490451749,-6.43371647509579,2.56494935746154,0.567033710263661,3,1,3,0,1,1,1,0,0,0,15.6309067688378,0,0
"20","AL",2007,1,1995-05-15,1995,2,1356,45.5,0,3,"self-directed",13,7.21229446850034,"FF","CU,FF,RF","FF",8,42,11.9,6.5,1466.2,"high",0,-0.45282490451749,-6.43371647509579,2.56494935746154,0.567033710263661,3,1,3,0,1,1,1,0,0,0,15.6309067688378,0,0
"23","AL",2007,1,1995-05-15,1995,2,1356,45.5,0,2,"investigative",13,7.21229446850034,"FF","CU,FF,RF","FF",8,42,11.9,6.5,1466.2,"high",0,-0.45282490451749,-6.43371647509579,2.56494935746154,0.567033710263661,3,1,3,0,1,1,1,0,0,0,15.6309067688378,0,0
"25","AL",2008,1,1995-05-15,1995,2,1756,48.3,0,1,"foraging",14,7.47079377419506,"RF","RF","RF",1,18,13.1,1.1,1583.1,"high",0,-0.255752226920193,-3.63371647509579,2.63905732961526,0.641141682417383,8,2,3,0,1,1,1,0,0,0,-8.3690932311622,0,0
"26","AL",2008,1,1995-05-15,1995,2,1756,48.3,0,3,"self-directed",14,7.47079377419506,"RF","RF","RF",1,18,13.1,1.1,1583.1,"high",0,-0.255752226920193,-3.63371647509579,2.63905732961526,0.641141682417383,8,2,3,0,1,1,1,0,0,0,-8.3690932311622,0,0
"27","AL",2008,1,1995-05-15,1995,2,1756,48.3,0,4,"social",14,7.47079377419506,"RF","RF","RF",1,18,13.1,1.1,1583.1,"high",0,-0.255752226920193,-3.63371647509579,2.63905732961526,0.641141682417383,8,2,3,0,1,1,1,0,0,0,-8.3690932311622,0,0
"28","AL",2008,1,1995-05-15,1995,2,1756,48.3,0,2,"investigative",14,7.47079377419506,"RF","RF","RF",1,18,13.1,1.1,1583.1,"high",0,-0.255752226920193,-3.63371647509579,2.63905732961526,0.641141682417383,8,2,3,0,1,1,1,0,0,0,-8.3690932311622,0,0
"29","AL",2009,1,1995-05-15,1995,2,1665,49.5,0,4,"social",15,7.41758040241454,"RF","RF","RF",1,20,14.1,1.3,1601,"high",0,-0.171292507949922,-2.43371647509579,2.70805020110221,0.710134553904335,8,3,3,0,1,1,1,0,0,0,-6.3690932311622,0,0
"30","AL",2009,1,1995-05-15,1995,2,1665,49.5,0,3,"self-directed",15,7.41758040241454,"RF","RF","RF",1,20,14.1,1.3,1601,"high",0,-0.171292507949922,-2.43371647509579,2.70805020110221,0.710134553904335,8,3,3,0,1,1,1,0,0,0,-6.3690932311622,0,0
"31","AL",2009,1,1995-05-15,1995,2,1665,49.5,0,1,"foraging",15,7.41758040241454,"RF","RF","RF",1,20,14.1,1.3,1601,"high",0,-0.171292507949922,-2.43371647509579,2.70805020110221,0.710134553904335,8,3,3,0,1,1,1,0,0,0,-6.3690932311622,0,0
"32","AL",2009,1,1995-05-15,1995,2,1665,49.5,0,2,"investigative",15,7.41758040241454,"RF","RF","RF",1,20,14.1,1.3,1601,"high",0,-0.171292507949922,-2.43371647509579,2.70805020110221,0.710134553904335,8,3,3,0,1,1,1,0,0,0,-6.3690932311622,0,0
"33","AL",2010,1,1995-05-15,1995,2,620,55.6,0,3,"self-directed",16,6.42971947803914,"RF","RF","RF",1,22,15.1,1,1764.7,"high",0,0.258044396815618,3.66628352490422,2.77258872223978,0.774673075041906,8,4,3,0,1,1,1,0,0,0,-4.3690932311622,0,0
"34","AL",2010,1,1995-05-15,1995,2,620,55.6,0,1,"foraging",16,6.42971947803914,"RF","RF","RF",1,22,15.1,1,1764.7,"high",0,0.258044396815618,3.66628352490422,2.77258872223978,0.774673075041906,8,4,3,0,1,1,1,0,0,0,-4.3690932311622,0,0
"35","AL",2010,1,1995-05-15,1995,2,620,55.6,0,2,"investigative",16,6.42971947803914,"RF","RF","RF",1,22,15.1,1,1764.7,"high",0,0.258044396815618,3.66628352490422,2.77258872223978,0.774673075041906,8,4,3,0,1,1,1,0,0,0,-4.3690932311622,0,0
