id,year,male,mono_index,sampyearsum,sociality,inno_count,domain_index,domain,age,logsampeff,MainGroup,group,rank_class,inno_count_ND,sociality.s,logage,logage.c,group_index,year_index,rankhi,rankmid,ranklo,innobinom,groupsize.c,innovator,innovatoryear
AH,2007,1,1,156,64.4,0,4,social,4,5.049856007,FF,FF,low,0,0.436876588,1.386294361,-0.413898909,3,1,0,0,1,0,15.81933257,0,0
AH,2007,1,1,156,64.4,0,2,investigative,4,5.049856007,FF,FF,low,0,0.436876588,1.386294361,-0.413898909,3,1,0,0,1,0,15.81933257,0,0
AH,2007,1,1,156,64.4,0,3,self-directed,4,5.049856007,FF,FF,low,0,0.436876588,1.386294361,-0.413898909,3,1,0,0,1,0,15.81933257,0,0
AH,2007,1,1,156,64.4,0,1,foraging,4,5.049856007,FF,FF,low,0,0.436876588,1.386294361,-0.413898909,3,1,0,0,1,0,15.81933257,0,0
AJ,2011,0,2,91,90.1,0,4,social,1,4.510859507,AA,AA,low,0,1.809135192,0,-1.80019327,1,5,0,0,1,0,6.819332566,0,0
AJ,2011,0,2,91,90.1,0,3,self-directed,1,4.510859507,AA,AA,low,0,1.809135192,0,-1.80019327,1,5,0,0,1,0,6.819332566,0,0
AJ,2011,0,2,91,90.1,0,2,investigative,1,4.510859507,AA,AA,low,0,1.809135192,0,-1.80019327,1,5,0,0,1,0,6.819332566,0,0
AJ,2011,0,2,91,90.1,0,1,foraging,1,4.510859507,AA,AA,low,0,1.809135192,0,-1.80019327,1,5,0,0,1,0,6.819332566,0,0
AK,2011,1,3,175,97,0,4,social,1,5.164785974,FF,FF,low,0,2.1775626,0,-1.80019327,3,5,0,0,1,0,-2.180667434,0,0
AK,2011,1,3,175,97,0,3,self-directed,1,5.164785974,FF,FF,low,0,2.1775626,0,-1.80019327,3,5,0,0,1,0,-2.180667434,0,0
AK,2011,1,3,175,97,0,2,investigative,1,5.164785974,FF,FF,low,0,2.1775626,0,-1.80019327,3,5,0,0,1,0,-2.180667434,0,0
AK,2011,1,3,175,97,0,1,foraging,1,5.164785974,FF,FF,low,0,2.1775626,0,-1.80019327,3,5,0,0,1,0,-2.180667434,0,0
AL,2007,1,4,1356,45.5,0,4,social,13,7.212294469,FF,FF,high,0,-0.572294137,2.564949357,0.764756087,3,1,1,0,0,0,15.81933257,0,0
AL,2007,1,4,1356,45.5,0,1,foraging,13,7.212294469,FF,FF,high,0,-0.572294137,2.564949357,0.764756087,3,1,1,0,0,0,15.81933257,0,0
AL,2007,1,4,1356,45.5,0,3,self-directed,13,7.212294469,FF,FF,high,0,-0.572294137,2.564949357,0.764756087,3,1,1,0,0,0,15.81933257,0,0
AL,2007,1,4,1356,45.5,0,2,investigative,13,7.212294469,FF,FF,high,0,-0.572294137,2.564949357,0.764756087,3,1,1,0,0,0,15.81933257,0,0
AL,2008,1,4,1756,48.3,0,1,foraging,14,7.470793774,RF,RF,high,0,-0.422787363,2.63905733,0.838864059,8,2,1,0,0,0,-8.180667434,0,0
AL,2008,1,4,1756,48.3,0,3,self-directed,14,7.470793774,RF,RF,high,0,-0.422787363,2.63905733,0.838864059,8,2,1,0,0,0,-8.180667434,0,0
AL,2008,1,4,1756,48.3,0,4,social,14,7.470793774,RF,RF,high,0,-0.422787363,2.63905733,0.838864059,8,2,1,0,0,0,-8.180667434,0,0
AL,2008,1,4,1756,48.3,0,2,investigative,14,7.470793774,RF,RF,high,0,-0.422787363,2.63905733,0.838864059,8,2,1,0,0,0,-8.180667434,0,0
AL,2009,1,4,1665,49.5,0,4,social,15,7.417580402,RF,RF,high,0,-0.358713031,2.708050201,0.907856931,8,3,1,0,0,0,-6.180667434,0,0
