"","group","date","ID","behav_code","domain","date2","year","others","domain_index","behavior_index","group_index","id"
"1","FL","10/13/07 12:58","LT","AU_LEAFSCRUB","foraging",2007-10-13,2007,1,1,2,4,"LT"
"2","NM","6/20/08 10:37","SM","AU_LEAFSCRUB","foraging",2008-06-20,2008,1,1,2,6,"SM"
"3","SP","11/17/10 12:20","XB","CATCH_ DRIP","foraging",2010-11-17,2010,0,1,7,9,"XB"
"4","RR","3/25/09 10:11","PD","FISH_HUNT","foraging",2009-03-25,2009,0,1,17,8,"PD"
"5","FL","6/22/08 12:19","TU","HOTPOTATO_SQUIRREL","foraging",2008-06-22,2008,0,1,37,4,"TU"
"6","FF","5/21/11 15:37","AM","LEAFSCRUB_FRUIT","foraging",2011-05-21,2011,0,1,44,3,"AM"
"7","FF","4/17/07 08:32","KT","POUNCE_FRUIT","foraging",2007-04-17,2007,0,1,87,3,"KT"
"8","RR","3/4/07 16:51","DW","POUNCE_FRUIT","foraging",2007-03-04,2007,0,1,87,8,"DW"
"9","FF","5/25/11 16:23","KD","POUND_AC_STICK","foraging",2011-05-25,2011,0,1,88,3,"KD"
"10","RR","3/2/10 14:16","GT","POUND_LC_IN_DISH","foraging",2010-03-02,2010,0,1,89,8,"GT"
"11","FF","3/14/07 13:57","KT","POUND-SCRUB_TERMITENEST","foraging",2007-03-14,2007,0,1,91,3,"KT"
"12","FL","7/26/08 05:39","MI","REELIN","foraging",2008-07-26,2008,1,1,92,4,"MI"
"13","NM","8/18/10 10:40","BJ","REELIN","foraging",2010-08-18,2010,0,1,92,6,"BJ"
"14","SP","5/13/10 15:18","KG","REELIN","foraging",2010-05-13,2010,0,1,92,9,"KG"
"15","RF","5/20/08 14:31","LX","SLAP_COATI","foraging",2008-05-20,2008,0,1,99,7,"LX"
"16","FF","6/24/07 12:36","RH","SPONGE","foraging",2007-06-24,2007,0,1,101,3,"RH"
"17","RR","8/4/07 16:13","RT","SPONGE","foraging",2007-08-04,2007,0,1,101,8,"RT"
"18","FL","9/21/11 09:44","ME","TAILCAPTURE_WASPNEST","foraging",2011-09-21,2011,0,1,109,4,"ME"
"19","SP","5/3/10 08:30","TG","TAILDIP_RIO","foraging",2010-05-03,2010,0,1,111,9,"TG"
"20","NM","2/12/10 08:19","MJ","TAILDIP_TREEHOLE","foraging",2010-02-12,2010,0,1,112,6,"MJ"
"21","FL","6/20/11 15:12","JU","TREEHOLEDIP-SCRUB-POUND_SQUIRREL","foraging",2011-06-20,2011,0,1,123,4,"JU"
"22","FF","11/10/08 10:47","PF","WASH_FOOD","foraging",2008-11-10,2008,0,1,127,3,"PF"
"23","FF","11/13/11 10:42","HK","BRANCH_TAILCARRY","investigative",2011-11-13,2011,0,2,4,3,"HK"
"24","MK","3/21/11 13:31","BK","BRANCH_TAILCARRY","investigative",2011-03-21,2011,0,2,4,5,"BK"
"25","MK","3/20/11 11:30","BJ","COORDINATED_SLIDE","investigative",2011-03-20,2011,0,2,8,5,"BJ"
"26","MK","8/14/11 10:31","BJ","DRUM_BRANCH","investigative",2011-08-14,2011,0,2,11,5,"BJ"
"27","FF","4/3/07 15:09","KT","FRUIT_HOP_ROLL_RETRIEVE","investigative",2007-04-03,2007,0,2,22,3,"KT"
"28","AA","3/26/07 12:57","MZ","HANDSTAND_CARTWHEEL","investigative",2007-03-26,2007,0,2,31,1,"MZ"
"29","FF","6/3/11 11:17","BM","HIND_LEG_BRANCH_WALK","investigative",2011-06-03,2011,0,2,33,3,"BM"
"30","FF","3/13/07 11:56","KT","HIT_GAME_MANGO","investigative",2007-03-13,2007,0,2,34,3,"KT"
"31","RR","8/3/08 09:45","RT","INSPECT_DEAD","investigative",2008-08-03,2008,0,2,42,8,"RT"
"32","AA","4/7/09 10:23","NE","JUGGLING/PASSING OBJECTS","investigative",2009-04-07,2009,1,2,43,1,"NE"
"33","FF","6/18/08 10:12","TN","JUGGLING/PASSING OBJECTS","investigative",2008-06-18,2008,0,2,43,3,"TN"
"34","MK","7/25/11 07:38","NH","JUGGLING/PASSING OBJECTS","investigative",2011-07-25,2011,0,2,43,5,"NH"
"35","RF","1/8/10 09:19","PX","JUGGLING/PASSING OBJECTS","investigative",2010-01-08,2010,0,2,43,7,"PX"
"36","FF","5/20/08 14:30","TH","MIRROR","investigative",2008-05-20,2008,1,2,49,3,"TH"
"37","FF","9/1/07 11:00","LX","MOUTH_ROPE_FEED","investigative",2007-09-01,2007,0,2,50,3,"LX"
"38","MK","7/23/11 14:07","WS","MUD_PUSH","investigative",2011-07-23,2011,0,2,51,5,"WS"
"39","MK","7/23/11 14:10","BJ","MUD_SLAP","investigative",2011-07-23,2011,0,2,52,5,"BJ"
"40","AA","2/3/11 08:01","DG","OBJECT_PLAY_BOTTLE","investigative",2011-02-03,2011,0,2,55,1,"DG"
"41","AA","11/4/07 11:37","OW","OBJECT_PLAY_BUBBLE","investigative",2007-11-04,2007,0,2,56,1,"OW"
"42","SP","12/5/11 09:11","AS","OBJECT_PLAY_DOLL","investigative",2011-12-05,2011,0,2,57,9,"AS"
"43","RR","5/18/07 09:02","RU","OBJECT_PLAY_FRUIT_TAP_ROLL_IN_MOUTH","investigative",2007-05-18,2007,0,2,58,8,"RU"
"44","AA","7/6/08 13:44","KY","OBJECT_PLAY_FRUIT_TREEHOLE_DUNK","investigative",2008-07-06,2008,0,2,59,1,"KY"
"45","FF","2/16/07 16:07","TN","OBJECT_PLAY_HOTPOTATO","investigative",2007-02-16,2007,1,2,60,3,"TN"
"46","MK","5/23/07 09:03","TD","OBJECT_PLAY_HOTPOTATO","investigative",2007-05-23,2007,0,2,60,5,"TD"
"47","RR","5/15/07 13:10","RU","OBJECT_PLAY_HOTPOTATO","investigative",2007-05-15,2007,1,2,60,8,"RU"
"48","AA","1/16/11 11:49","QM","OBJECT_PLAY_LEAF","investigative",2011-01-16,2011,1,2,61,1,"QM"
"49","MK","8/17/11 13:24","BJ","OBJECT_PLAY_LEAF","investigative",2011-08-17,2011,0,2,61,5,"BJ"
"50","AA","12/18/10 10:49","DG","OBJECT_PLAY_LEAF_HIT","investigative",2010-12-18,2010,0,2,62,1,"DG"
"51","FF","6/20/07 11:58","ST","OBJECT_PLAY_LEAF_TREEHOLE","investigative",2007-06-20,2007,0,2,63,3,"ST"
"52","RF","6/18/08 12:19","RS","OBJECT_PLAY_LEAFLITTER_PUSHING","investigative",2008-06-18,2008,1,2,64,7,"RS"
"53","FL","3/18/10 09:52","JU","OBJECT_PLAY_PLANT_WRESTLE","investigative",2010-03-18,2010,0,2,65,4,"JU"
"54","CU","9/5/07 12:39","CH","OBJECT_PLAY_PLANT_WRESTLE","investigative",2007-09-05,2007,0,2,65,2,"CH"
"55","FF","12/3/07 07:07","OT","OBJECT_PLAY_PLANT_WRESTLE","investigative",2007-12-03,2007,0,2,65,3,"OT"
"56","RR","4/21/10 11:22","EC","OBJECT_PLAY_PLANT_WRESTLE","investigative",2010-04-21,2010,0,2,65,8,"EC"
"57","FF","6/24/09 08:50","TE","OBJECT_PLAY_RACHET","investigative",2009-06-24,2009,0,2,66,3,"TE"
"58","RR","6/5/10 16:19","PD","OBJECT_PLAY_ROCK_BITE","investigative",2010-06-05,2010,0,2,67,8,"PD"
"59","CU","5/11/07 13:12","CH","OBJECT_PLAY_ROCK_BITE","investigative",2007-05-11,2007,0,2,67,2,"CH"
"60","FL","7/22/09 11:46","EI","OBJECT_PLAY_ROCK_BITE","investigative",2009-07-22,2009,0,2,67,4,"EI"
"61","RF","3/23/08 16:15","KT","OBJECT_PLAY_ROCK_CHALK","investigative",2008-03-23,2008,0,2,68,7,"KT"
"62","AA","5/5/09 12:58","MZ","OBJECT_PLAY_ROCK_DISPLAY","investigative",2009-05-05,2009,0,2,69,1,"MZ"
"63","AA","3/2/11 07:58","DG","OBJECT_PLAY_HOTPOTATO","investigative",2011-03-02,2011,0,2,60,1,"DG"
"64","FF","7/23/07 14:25","TN","OBJECT_PLAY_ROCK_JUGGLE","investigative",2007-07-23,2007,0,2,70,3,"TN"
"65","RR","3/2/08 12:13","DK","OBJECT_PLAY_ROCK_POUND","investigative",2008-03-02,2008,0,2,71,8,"DK"
"66","AA","7/24/11 13:30","VR","OBJECT_PLAY_ROCK_SCRUB","investigative",2011-07-24,2011,1,2,72,1,"VR"
"67","SP","11/14/10 11:00","GB","OBJECT_PLAY_STICK_FULCRUM","investigative",2010-11-14,2010,0,2,73,9,"GB"
"68","RF","2/19/08 13:30","KT","OBJECT_PLAY_STICK_ROLLINGPIN","investigative",2008-02-19,2008,0,2,74,7,"KT"
"69","FL","8/3/07 06:31","JA","OBJECT_PLAY_SWING","investigative",2007-08-03,2007,0,2,75,4,"JA"
"70","RR","3/23/07 10:47","WM","OBJECT_PLAY_TREETAG","investigative",2007-03-23,2007,0,2,76,8,"WM"
"71","CU","9/5/07 08:41","CH","OPEN_PALM_SLAP_STICK","investigative",2007-09-05,2007,0,2,77,2,"CH"
"72","FF","4/19/07 09:38","TN","OPEN_PALM_SLAP_STICK","investigative",2007-04-19,2007,0,2,77,3,"TN"
"73","FL","3/17/09 13:05","MX","PLAY_SAND_DIG","investigative",2009-03-17,2009,0,2,82,4,"MX"
"74","RF","3/25/08 10:14","RS,SY,ST,MW","PLAY_SAND_DIG","investigative",2008-03-25,2008,1,2,82,7,"RS"
"75","RF","3/25/08 10:14","RS,SY,ST,MW","PLAY_SAND_DIG","investigative",2008-03-25,2008,1,2,82,7,"SY"
"76","RF","3/25/08 10:14","RS,SY,ST,MW","PLAY_SAND_DIG","investigative",2008-03-25,2008,1,2,82,7,"ST"
"77","RF","3/25/08 10:14","RS,SY,ST,MW","PLAY_SAND_DIG","investigative",2008-03-25,2008,1,2,82,7,"MW"
"78","SP","11/4/11 12:10","MS","PLAY_SAND_DIG","investigative",2011-11-04,2011,0,2,82,9,"MS"
"79","FF","3/3/07 14:16","KT","PLAY_SAND_DIG_JUMP","investigative",2007-03-03,2007,0,2,83,3,"KT"
"80","AA","7/2/11 12:56","NE","PLAY_SAND_ROLL","investigative",2011-07-02,2011,0,2,84,1,"NE"
"81","FF","10/3/11 16:32","BM","PLAY_SAND_ROLL","investigative",2011-10-03,2011,0,2,84,3,"BM"
"82","FF","4/23/07 10:31","RH","PLAY_SAND_SIFT","investigative",2007-04-23,2007,0,2,85,3,"RH"
"83","AA","12/4/11 15:56","GI","PLAY_SAND_THROW","investigative",2011-12-04,2011,0,2,86,1,"GI"
"84","FF","8/3/11 09:29","FE","PLAY_SAND_THROW","investigative",2011-08-03,2011,0,2,86,3,"FE"
"85","RF","3/16/10 12:43","TW","POUND_METAL","investigative",2010-03-16,2010,0,2,90,7,"TW"
"86","RR","8/6/07 11:21","DW","REELIN_VINE_GAME","investigative",2007-08-06,2007,0,2,93,8,"DW"
"87","FL","7/3/07 06:54","LT","SWING_STICK","investigative",2007-07-03,2007,0,2,106,4,"LT"
"88","RR","11/2/07 11:52","GT,WM","TEETERTOTTER_BRANCH_DYADIC","investigative",2007-11-02,2007,1,2,115,8,"GT"
"89","RR","11/2/07 11:52","GT,WM","TEETERTOTTER_BRANCH_DYADIC","investigative",2007-11-02,2007,1,2,115,8,"WM"
"90","FF","11/3/07 15:46","RS","TEETERTOTTER_COWDUNG","investigative",2007-11-03,2007,0,2,116,3,"RS"
"91","AA","3/6/08 09:08","KY","TREEHOLE_ARMWASH","investigative",2008-03-06,2008,0,2,121,1,"KY"
"92","FF","8/22/08 12:55","PF","TREEHOLE_ARMWASH","investigative",2008-08-22,2008,0,2,121,3,"PF"
"93","RF","12/11/09 14:31","SY","TREEHOLE_ARMWASH","investigative",2009-12-11,2009,0,2,121,7,"SY"
"94","AA","7/9/11 12:57","KY","TREEHOLE_SPLASH","investigative",2011-07-09,2011,0,2,122,1,"KY"
"95","FL","5/20/09 07:34","EI","TREEHOLE_SPLASH","investigative",2009-05-20,2009,0,2,122,4,"EI"
"96","MK","7/21/11 10:28","WS","TREEHOLE_SPLASH","investigative",2011-07-21,2011,1,2,122,5,"WS"
"97","NM","8/18/10 11:50","BJ","TREEHOLE_SPLASH","investigative",2010-08-18,2010,1,2,122,6,"BJ"
"98","AA","5/6/07 11:19","KY","TURTLE_HANDLE","investigative",2007-05-06,2007,1,2,125,1,"KY"
"99","FL","8/16/08 09:56","MX","WATER_GRAB","investigative",2008-08-16,2008,0,2,128,4,"MX"
"100","AA","4/5/09 12:34","BI","WATER_HANG_SPLASH","investigative",2009-04-05,2009,0,2,129,1,"BI"
"101","CU","9/5/07 12:39","CH","WATER_JUMP_IN_RIVER","investigative",2007-09-05,2007,0,2,130,2,"CH"
"102","AA","4/3/11 13:03","VR","WATER_SPLASH","investigative",2011-04-03,2011,0,2,131,1,"VR"
"103","FL","7/23/08 10:44","JA","WATER_SWING","investigative",2008-07-23,2008,1,2,132,4,"JA"
"104","SP","1/2/10 14:27","GB","FIST_NOSE_RUB_SNEEZE","self-directed",2010-01-02,2010,1,3,18,9,"GB"
"105","AA","7/2/08 11:03","KY","FLOSS","self-directed",2008-07-02,2008,0,3,19,1,"KY"
"106","NM","2/4/10 15:28","BJ","FLOSS","self-directed",2010-02-04,2010,0,3,19,6,"BJ"
"107","FF","8/22/08 09:01","LX","FLOSS","self-directed",2008-08-22,2008,1,3,19,3,"LX"
"108","CU","1/14/09 00:00","CU","HOLD_BODY_PART","self-directed",2009-01-14,2009,1,3,35,2,"CU"
"109","RF","7/19/08 09:54","RH","MASTURBATE_SOLO_BRANCH","self-directed",2008-07-19,2008,0,3,47,7,"RH"
"110","FF","6/25/07 05:54","TH","MASTURBATE_SOLO_OWNTAIL","self-directed",2007-06-25,2007,0,3,48,3,"TH"
"111","RR","1/18/07 08:34","DW","SELF_EYEPOKE","self-directed",2007-01-18,2007,1,3,96,8,"DW"
"112","SP","4/12/09 13:35","LU","SELF_EYEPOKE","self-directed",2009-04-12,2009,1,3,96,9,"LU"
"113","FF","5/12/10 15:19","HE","STICK_TOOTHPICK","self-directed",2010-05-12,2010,0,3,102,3,"HE"
"114","AA","7/2/08 11:03","KY","TOOTH_BRANCHSCRAPE","self-directed",2008-07-02,2008,0,3,119,1,"KY"
"115","RR","4/15/08 13:33","DR","TOOTH_BRANCHSCRAPE","self-directed",2008-04-15,2008,0,3,119,8,"DR"
"116","SP","11/18/10 11:19","KF","TOOTH_BRANCHSCRAPE","self-directed",2010-11-18,2010,0,3,119,9,"KF"
"117","RR","1/16/07 08:23","SR","TWIG_TRIM","self-directed",2007-01-16,2007,1,3,126,8,"SR"
"118","FL","7/24/07 07:35","NP","AGG_CIRCLE_JUMP","social",2007-07-24,2007,0,4,1,4,"NP"
"119","NM","3/21/10 12:41","BJ,PY","BOUNCE_DOUBLEHANDHIT_MONKEY","social",2010-03-21,2010,0,4,3,6,"BJ"
"120","NM","3/21/10 12:41","BJ,PY","BOUNCE_DOUBLEHANDHIT_MONKEY","social",2010-03-21,2010,0,4,3,6,"PY"
"121","RR","1/5/08 12:52","SK,GE","BOUNCE_DOUBLEHANDHIT_MONKEY","social",2008-01-05,2008,0,4,3,8,"SK"
"122","RR","1/5/08 12:52","SK,GE","BOUNCE_DOUBLEHANDHIT_MONKEY","social",2008-01-05,2008,0,4,3,8,"GE"
"123","NM","3/21/11 11:05","OC,LH","CALMING","social",2011-03-21,2011,0,4,5,6,"OC"
"124","NM","3/21/11 11:05","OC,LH","CALMING","social",2011-03-21,2011,0,4,5,6,"LH"
"125","FF","4/8/10 09:49","KD","CARTWHEEL_FACESLAP_FACEKICK","social",2010-04-08,2010,0,4,6,3,"KD"
"126","CU","2/14/09 11:11","PE,PW","DENTAL_EXAM","social",2009-02-14,2009,1,4,9,2,"PE"
"127","CU","2/14/09 11:11","PE,PW","DENTAL_EXAM","social",2009-02-14,2009,1,4,9,2,"PW"
"128","MK","11/28/08 10:53","DY,UK","DENTAL_EXAM","social",2008-11-28,2008,1,4,9,5,"DY"
"129","MK","11/28/08 10:53","DY,UK","DENTAL_EXAM","social",2008-11-28,2008,1,4,9,5,"UK"
"130","NM","3/17/11 12:46","NAO,TP","DENTAL_EXAM","social",2011-03-17,2011,1,4,9,6,"NAO"
"131","NM","3/17/11 12:46","NAO,TP","DENTAL_EXAM","social",2011-03-17,2011,1,4,9,6,"TP"
"132","RF","5/17/08 12:20","PX,TW","DENTAL_EXAM","social",2008-05-17,2008,1,4,9,7,"PX"
"133","RF","5/17/08 12:20","PX,TW","DENTAL_EXAM","social",2008-05-17,2008,1,4,9,7,"TW"
"134","SP","4/10/10 16:28","KG,LZ","DENTAL_EXAM","social",2010-04-10,2010,1,4,9,9,"KG"
"135","SP","4/10/10 16:28","KG,LZ","DENTAL_EXAM","social",2010-04-10,2010,1,4,9,9,"LZ"
"136","RF","5/17/09 17:32","RE,PX,AO","DIVE_VINETANGLE","social",2009-05-17,2009,1,4,10,7,"RE"
"137","RF","5/17/09 17:32","RE,PX,AO","DIVE_VINETANGLE","social",2009-05-17,2009,1,4,10,7,"PX"
"138","RF","5/17/09 17:32","RE,PX,AO","DIVE_VINETANGLE","social",2009-05-17,2009,1,4,10,7,"AO"
"139","RR","3/25/09 13:08","BE,TK","DRUMROLL","social",2009-03-25,2009,0,4,12,8,"BE"
"140","RR","3/25/09 13:08","BE,TK","DRUMROLL","social",2009-03-25,2009,0,4,12,8,"TK"
"141","RR","2/22/09 07:10","YA,TK","EAT EARWAX","social",2009-02-22,2009,0,4,13,8,"YA"
"142","RR","2/22/09 07:10","YA,TK","EAT EARWAX","social",2009-02-22,2009,0,4,13,8,"TK"
"143","SP","4/12/09 09:11","FA,YH","EYEPOKE","social",2009-04-12,2009,1,4,14,9,"FA"
"144","SP","4/12/09 09:11","FA,YH","EYEPOKE","social",2009-04-12,2009,1,4,14,9,"YH"
"145","FL","2/20/07 15:44","QJ,TU","FACE_LICK","social",2007-02-20,2007,0,4,15,4,"QJ"
"146","FL","2/20/07 15:44","QJ,TU","FACE_LICK","social",2007-02-20,2007,0,4,15,4,"TU"
"147","NM","5/2/11 11:28","NH,LH","FIM_GAME","social",2011-05-02,2011,1,4,16,6,"NH"
"148","NM","5/2/11 11:28","NH,LH","FIM_GAME","social",2011-05-02,2011,1,4,16,6,"LH"
"149","RF","4/17/08 17:11","OT,KT","FIM_GAME","social",2008-04-17,2008,0,4,16,7,"OT"
"150","RF","4/17/08 17:11","OT,KT","FIM_GAME","social",2008-04-17,2008,0,4,16,7,"KT"
"151","RR","2/11/08 09:07","YA,SR","FIM_GAME","social",2008-02-11,2008,1,4,16,8,"YA"
"152","RR","2/11/08 09:07","YA,SR","FIM_GAME","social",2008-02-11,2008,1,4,16,8,"SR"
"153","SP","1/16/07 15:31","FA,LA","FIM_GAME","social",2007-01-16,2007,1,4,16,9,"FA"
"154","SP","1/16/07 15:31","FA,LA","FIM_GAME","social",2007-01-16,2007,1,4,16,9,"LA"
"155","NM","2/21/11 12:59","LL","FOOT BRANCH SHAKE","social",2011-02-21,2011,0,4,20,6,"LL"
"156","FF","6/16/08 10:19","DN,CD","FOOT_GRAB_TAIL_SEX_DEMAND","social",2008-06-16,2008,0,4,21,3,"DN"
"157","FF","6/16/08 10:19","DN,CD","FOOT_GRAB_TAIL_SEX_DEMAND","social",2008-06-16,2008,0,4,21,3,"CD"
"158","RR","9/4/07 09:14","RU,WM","HAIRGAME","social",2007-09-04,2007,1,4,26,8,"RU"
"159","RR","9/4/07 09:14","RU,WM","HAIRGAME","social",2007-09-04,2007,1,4,26,8,"WM"
"160","RR","5/5/10 08:15","MB,JH","HAND_PULL","social",2010-05-05,2010,0,4,27,8,"MB"
"161","RR","5/5/10 08:15","MB,JH","HAND_PULL","social",2010-05-05,2010,0,4,27,8,"JH"
"162","FF","12/3/09 12:36","CN,OD","HANDBITE_HUG","social",2009-12-03,2009,0,4,28,3,"CN"
"163","FF","12/3/09 12:36","CN,OD","HANDBITE_HUG","social",2009-12-03,2009,0,4,28,3,"OD"
"164","CU","2/19/11 11:20","CS,CH","HANDSNIFF","social",2011-02-19,2011,0,4,29,2,"CS"
"165","CU","2/19/11 11:20","CS,CH","HANDSNIFF","social",2011-02-19,2011,0,4,29,2,"CH"
"166","MK","12/2/08 11:43","OC,WW","HANDSNIFF","social",2008-12-02,2008,0,4,29,5,"OC"
"167","MK","12/2/08 11:43","OC,WW","HANDSNIFF","social",2008-12-02,2008,0,4,29,5,"WW"
"168","NM","1/21/11 09:46","LL,GL","HANDSNIFF","social",2011-01-21,2011,0,4,29,6,"LL"
"169","NM","1/21/11 09:46","LL,GL","HANDSNIFF","social",2011-01-21,2011,0,4,29,6,"GL"
"170","SP","4/12/09 09:11","FA,YH","HANDSNIFF","social",2009-04-12,2009,1,4,29,9,"FA"
"171","SP","4/12/09 09:11","FA,YH","HANDSNIFF","social",2009-04-12,2009,1,4,29,9,"YH"
"172","FL","2/20/07 12:04","MI,ME","HANDSNIFF_HANDRUB","social",2007-02-20,2007,0,4,30,4,"MI"
"173","FL","2/20/07 12:04","MI,ME","HANDSNIFF_HANDRUB","social",2007-02-20,2007,0,4,30,4,"ME"
"174","RF","7/12/11 09:03","PX, RE","HEAD BUMPING","social",2011-07-12,2011,0,4,32,7,"PX"
"175","RF","7/12/11 09:03","PX, RE","HEAD BUMPING","social",2011-07-12,2011,0,4,32,7,"RE"
"176","NM","11/2/11 13:01","UK,ER","HOLD_MOUTH","social",2011-11-02,2011,0,4,36,6,"UK"
"177","NM","11/2/11 13:01","UK,ER","HOLD_MOUTH","social",2011-11-02,2011,0,4,36,6,"ER"
"178","RR","4/15/10 08:16","MO,MA","HUG_BEHIND_COVER_FACE_FIM","social",2010-04-15,2010,0,4,38,8,"MO"
"179","RR","4/15/10 08:16","MO,MA","HUG_BEHIND_COVER_FACE_FIM","social",2010-04-15,2010,0,4,38,8,"MA"
"180","RR","5/12/09 10:30","SR,RT","HUG_DRAG_FROM_BEHIND","social",2009-05-12,2009,0,4,39,8,"SR"
