"","group","date","id","behav_code","domain","date2","year","domain_index","behavior_index","others","YEARmatch","group_index","mono_index","age","logage","logage.c","groupsize.c","ranklo","rankhi","male","sociality.s","groupsize","age.c"
"1","FL","10/13/07 12:58","LT","AU_LEAFSCRUB","foraging","2007-10-13",2007,1,2,1,2007,4,56,4,1.38629436111989,-0.611621286077985,-6.3690932311622,0,0,1,0.553653413211564,-6.3690932311622,-4.40495867768595
"2","NM","6/20/08 10:37","SM","AU_LEAFSCRUB","foraging","2008-06-20",2008,1,2,1,2008,6,99,11,2.39789527279837,0.399979625600495,-3.3690932311622,0,1,1,-0.889200119197219,-3.3690932311622,2.59504132231405
"4","RR","3/25/09 10:11","PD","FISH_HUNT","foraging","2009-03-25",2009,1,16,0,2009,8,81,5,1.6094379124341,-0.388477734763775,7.6309067688378,0,0,0,0.511423553726429,7.6309067688378,-3.40495867768595
"5","FL","6/22/08 12:19","TU","HOTPOTATO_SQUIRREL","foraging","2008-06-22",2008,1,36,0,2008,4,110,8,2.07944154167984,0.0815258944819603,-7.3690932311622,0,0,1,-0.635820962286409,-7.3690932311622,-0.404958677685951
"6","FF","5/21/11 15:37","AM","LEAFSCRUB_FRUIT","foraging","2011-05-21",2011,1,43,0,2011,3,1,38,3.63758615972639,1.63967051252851,-2.3690932311622,0,0,0,-2.09978942443776,-2.3690932311622,29.595041322314
"7","FF","4/17/07 08:32","KT","POUNCE_FRUIT","foraging","2007-04-17",2007,1,86,0,2007,3,49,4,1.38629436111989,-0.611621286077985,15.6309067688378,0,0,0,0.50438524381224,15.6309067688378,-4.40495867768595
"8","RR","3/4/07 16:51","DW","POUNCE_FRUIT","foraging","2007-03-04",2007,1,86,0,2007,8,24,7,1.94591014905531,-0.0520054981425622,6.6309067688378,0,0,0,-0.488016454088436,6.6309067688378,-1.40495867768595
"9","FF","5/25/11 16:23","KD","POUND_AC_STICK","foraging","2011-05-25",2011,1,87,0,2011,3,45,4,1.38629436111989,-0.611621286077985,-2.3690932311622,0,0,1,0.708496231323726,-2.3690932311622,-4.40495867768595
"10","RR","3/2/10 14:16","GT","POUND_LC_IN_DISH","foraging","2010-03-02",2010,1,88,0,2010,8,36,7,1.94591014905531,-0.0520054981425622,10.6309067688378,0,0,1,0.018741859733186,10.6309067688378,-1.40495867768595
"11","FF","3/14/07 13:57","KT","POUND-SCRUB_TERMITENEST","foraging","2007-03-14",2007,1,90,0,2007,3,49,4,1.38629436111989,-0.611621286077985,15.6309067688378,0,0,0,0.50438524381224,15.6309067688378,-4.40495867768595
"12","FL","7/26/08 05:39","MI","REELIN","foraging","2008-07-26",2008,1,91,1,2008,4,63,12,2.484906649788,0.486991002590125,-7.3690932311622,0,1,0,0.0961632687892666,-7.3690932311622,3.59504132231405
"13","NM","8/18/10 10:40","BJ","REELIN","foraging","2010-08-18",2010,1,91,0,2010,6,7,6,1.79175946922805,-0.20615617796982,-5.3690932311622,0,1,1,-0.354288565718841,-5.3690932311622,-2.40495867768595
"14","SP","5/13/10 15:18","KG","REELIN","foraging","2010-05-13",2010,1,91,0,2010,9,47,5,1.6094379124341,-0.388477734763775,8.6309067688378,0,0,1,-0.283905466576949,8.6309067688378,-3.40495867768595
