id,year,male,birthyear,mono_index,sampyearsum,sociality,inno_count,domain_index,domain,age,age.c,MainGroup,max_group,rank_class,sociality.s,logage,logage.c,group_index,year_index,rankhi,rankmid,ranklo,innobinom,groupsize.c
AH,2007,1,2004,1,156,64.4,0,4,social,3,-6.902061856,FF,42,low,1.325561009,1.098612289,-0.909070597,3,1,0,0,1,0,15.97378277
AH,2007,1,2004,1,156,64.4,0,1,foraging,3,-6.902061856,FF,42,low,1.325561009,1.098612289,-0.909070597,3,1,0,0,1,0,15.97378277
AH,2007,1,2004,1,156,64.4,0,3,self-directed,3,-6.902061856,FF,42,low,1.325561009,1.098612289,-0.909070597,3,1,0,0,1,0,15.97378277
AH,2007,1,2004,1,156,64.4,0,2,investigative,3,-6.902061856,FF,42,low,1.325561009,1.098612289,-0.909070597,3,1,0,0,1,0,15.97378277
AL,2007,1,1995,2,1356,45.5,0,4,social,12,2.097938144,FF,42,high,-0.258688931,2.48490665,0.477223764,3,1,1,0,0,0,15.97378277
AL,2007,1,1995,2,1356,45.5,0,4,social,12,2.097938144,FF,16,high,-0.258688931,2.48490665,0.477223764,3,1,1,0,0,0,-10.02621723
AL,2007,1,1995,2,1356,45.5,0,4,social,12,2.097938144,FF,17,high,-0.258688931,2.48490665,0.477223764,3,1,1,0,0,0,-9.026217228
AL,2007,1,1995,2,1356,45.5,0,2,investigative,12,2.097938144,FF,42,high,-0.258688931,2.48490665,0.477223764,3,1,1,0,0,0,15.97378277
AL,2007,1,1995,2,1356,45.5,0,2,investigative,12,2.097938144,FF,16,high,-0.258688931,2.48490665,0.477223764,3,1,1,0,0,0,-10.02621723
AL,2007,1,1995,2,1356,45.5,0,2,investigative,12,2.097938144,FF,17,high,-0.258688931,2.48490665,0.477223764,3,1,1,0,0,0,-9.026217228
AL,2007,1,1995,2,1356,45.5,0,1,foraging,12,2.097938144,FF,42,high,-0.258688931,2.48490665,0.477223764,3,1,1,0,0,0,15.97378277
AL,2007,1,1995,2,1356,45.5,0,1,foraging,12,2.097938144,FF,16,high,-0.258688931,2.48490665,0.477223764,3,1,1,0,0,0,-10.02621723
AL,2007,1,1995,2,1356,45.5,0,1,foraging,12,2.097938144,FF,17,high,-0.258688931,2.48490665,0.477223764,3,1,1,0,0,0,-9.026217228
AL,2007,1,1995,2,1356,45.5,0,3,self-directed,12,2.097938144,FF,42,high,-0.258688931,2.48490665,0.477223764,3,1,1,0,0,0,15.97378277
AL,2007,1,1995,2,1356,45.5,0,3,self-directed,12,2.097938144,FF,16,high,-0.258688931,2.48490665,0.477223764,3,1,1,0,0,0,-10.02621723
AL,2007,1,1995,2,1356,45.5,0,3,self-directed,12,2.097938144,FF,17,high,-0.258688931,2.48490665,0.477223764,3,1,1,0,0,0,-9.026217228
AL,2008,1,1995,2,1756,48.3,0,2,investigative,13,3.097938144,RF,18,high,-0.023985236,2.564949357,0.557266472,8,2,1,0,0,0,-8.026217228
AL,2008,1,1995,2,1756,48.3,0,3,self-directed,13,3.097938144,RF,18,high,-0.023985236,2.564949357,0.557266472,8,2,1,0,0,0,-8.026217228
AL,2008,1,1995,2,1756,48.3,0,1,foraging,13,3.097938144,RF,18,high,-0.023985236,2.564949357,0.557266472,8,2,1,0,0,0,-8.026217228
AL,2008,1,1995,2,1756,48.3,0,4,social,13,3.097938144,RF,18,high,-0.023985236,2.564949357,0.557266472,8,2,1,0,0,0,-8.026217228
AL,2009,1,1995,2,1665,49.5,0,2,investigative,14,4.097938144,RF,20,high,0.076602062,2.63905733,0.631374444,8,3,1,0,0,0,-6.026217228
AL,2009,1,1995,2,1665,49.5,0,4,social,14,4.097938144,RF,20,high,0.076602062,2.63905733,0.631374444,8,3,1,0,0,0,-6.026217228
AL,2009,1,1995,2,1665,49.5,0,1,foraging,14,4.097938144,RF,20,high,0.076602062,2.63905733,0.631374444,8,3,1,0,0,0,-6.026217228
